           id        ,  ra        ,    dec     ,  zspec , fwhm_broad_halpha, fwhm_broad_halpha_up, fwhm_broad_halpha_lo, log_mbh, log_mbh_up, log_mbh_lo, log_lbol, log_lbol_up, log_lbol_lo, edd_ratio, edd_ratio_up, edd_ratio_lo, grating
    rubies_4233_19521,  34.383672 ,  -5.287732 , 5.6687 , 1340 , 430, -340 , 6.18 , 0.0505, -0.0489 , 44.0 , 0.0432, -0.045 , 0.05526, 0.0262, -0.0374 ,   g395m
    rubies_4233_47509,  34.264602 ,  -5.232586 , 5.6718 , 2060 , 200, -180 , 6.83 , 0.0185, -0.0205 ,   44.4 , 0.010, -0.010 , 0.2852, 0.0053, -0.010 ,   g395m
    rubies_4233_37124, 214.990977 ,  52.916524 , 5.6814 , 1450 , 280, -190 , 6.42 , 0.021 , -0.0208 , 44.1 , 0.0353, -0.0396 , 0.3929, 0.0256, -0.02 ,   g395m
   rubies_4233_139709,  34.296002 ,  -5.149895 , 5.6831 , 2770 , 310, -300 ,  7.2 , 0.0173, -0.0197 , 44.5 , 0.0131, -0.0147 , 0.1459, 0.0039, -0.00 ,   g395m
      j0226_3325_3190,  36.527690 ,   3.041660 , 5.7345 , 1280 , 370, -250 , 6.19 , 0.0347, -0.0468 , 44.1 , 0.0211, -0.0308 , 0.5884, 0.0293, -0.04 ,   g395m
     jades_1181_38147, 189.270676 ,  62.148418 , 5.8683 , 4550 , 10,  -200,   7.5 , 0.0195, -0.0187 ,   44.2 , 0.010, -0.010 , 0.0398, 0.0009, -0.00 ,   g395m
     jades_1181_61888, 189.168016 ,  62.217013 , 5.8752 , 1170 , 160, -100 , 6.03 , 0.0157, -0.0191 , 44.0 , 0.0117, -0.010 , 0.6799, 0.0190, -0.010 ,   g395m
       gds_1210_13704,  53.126535 , -27.818092 , 5.9189 , 2030 , 220, -160 , 6.56 , 0.0206, -0.0227 ,   43.9 , 0.010, -0.010 , 0.1944, 0.0044, -0.00 ,   g395m
  jades_1286_30148179,  53.142082 , -27.779852 , 5.9214 , 1800 , 330, -330 , 6.34 , 0.0464, -0.049 , 44.1 , 0.0102, -0.010 , 0.4256, 0.0353, -0.03 ,   g395m
  macs0416_4750_22011,  64.079036 , -24.125954 , 5.9631 ,  1470 , 100, -60 , 6.28 , 0.0107, -0.0141 , 43.9 , 0.010, -0.0114 , 0.3041, 0.0070, -0.010 ,   g395m
   glimpse_9223_11026, 342.197449 , -44.550621 , 5.9725 , 2440 , 170, -290 , 6.79 , 0.0203, -0.0137 ,   44.1 , 0.010, -0.010 , 0.1450, 0.0028, -0.00 ,   g395m
   rubies_4233_174752,  34.205808 ,  -5.100500 , 6.0389 , 1410 , 290, -240 , 6.35 , 0.0282, -0.0262 , 44.3 , 0.0122, -0.0124 , 0.6871, 0.0265, -0.02 ,   g395m
   glimpse_9223_26653, 342.184082 , -44.531643 , 6.1044 ,    1110 , 80, -40 ,5.79 , 0.0108, -0.010 ,   44.4 , 0.010, -0.010 , 3.2081, 0.0864, -0.07 ,   g395m
    rubies_4233_50716,  34.313154 ,  -5.226781 , 6.1673 , 2840 , 800, -490 , 7.02 , 0.0506, -0.0574 , 44.1 , 0.0235, -0.0329 , 0.0875, 0.0067, -0.010 ,   g395m
  macs1149_2758_30028, 177.438019 ,  22.470446 , 6.2117 , 2640 , 570, -640 , 6.71 , 0.0502, -0.0395 , 43.7 , 0.0307, -0.0206 , 0.0819, 0.0059, -0.00 ,   g395m
    glimpse_9223_5536, 342.256260 , -44.560186 , 6.2228 , 1950 , 390, -270 , 6.46 , 0.0206, -0.0381 , 43.8 , 0.014, -0.0243 , 0.1888, 0.0052, -0.010 ,   g395m
    rubies_4233_24210, 215.066445 ,  52.941877 , 6.2712 , 1250 , 590, -340 , 6.22 , 0.039, -0.049 , 44.3 , 0.0144, -0.0196 , 0.9811, 0.0499, -0.05 ,   g395m
     j0226_3325_10867,  36.475139 ,   3.081380 , 6.5341 , 2150 , 710, -480 , 6.73 , 0.0519, -0.0595 , 44.2 , 0.0226, -0.0254 , 0.2086, 0.0122, -0.010 ,   g395m
      j0226_3325_9556,  36.495420 ,   3.040207 , 6.5391 , 1960 , 470, -360 , 6.78 , 0.0375, -0.0366 , 44.3 , 0.0203, -0.0165 , 0.2515, 0.0113, -0.010 ,   g395m
      j0226_3325_6699,  36.507805 ,   3.049793 , 6.5405 ,   3400 , 70, -40 ,    8.3 , 0.010, -0.010 ,   45.8 , 0.010, -0.010 , 0.2542, 0.0011, -0.00 ,   g395m
     j0910_2028_12910, 137.727212 ,  -4.235207 , 6.6214 ,   4280 , 40, -30 ,   8.58 , 0.010, -0.010 ,   45.9 , 0.010, -0.010 , 0.1742, 0.0006, -0.00 ,   g395m
     j0910_2028_14306, 137.716790 ,  -4.214624 , 6.6334 , 1140 , 440, -180 , 6.03 , 0.0421, -0.0664 , 44.1 , 0.022, -0.0192 , 0.8870, 0.0482, -0.05 ,   g395m
  glimpse_9223_329380, 342.229976 , -44.510380 , 6.6388 ,   1730 , 80, -80 ,   6.78 , 0.010, -0.010 ,   44.9 , 0.010, -0.010 , 1.1545, 0.0114, -0.010 ,   g395m
    rubies_4233_49140, 214.892248 ,  52.877410 , 6.6852 ,   2910 , 50, -50 ,   7.73 , 0.010, -0.010 ,   45.1 , 0.010, -0.010 , 0.1917, 0.0013, -0.00 ,   g395m
       egs_4106_57146, 214.892246 ,  52.877410 , 6.6859 , 3350 , 1890, -2180 ,   7.63 , 0.010, -0.010 ,   44.8 , 0.010, -0.010 , 0.1068, 2.3411, -0.50 ,   g395m
       egs_4106_47962, 214.892479 ,  52.856891 , 6.7273 , 2430 , 200, -160 , 6.89 , 0.029, -0.0333 , 44.4 , 0.010, -0.0111 , 0.2360, 0.0042, -0.00 ,   g395m
   aurora_1914_100182, 189.177221 ,  62.291510 , 6.7325 , 1660 , 470, -340 , 6.4 , 0.0415, -0.0622 , 44.4 , 0.010, -0.0101 , 0.8687, 0.0706, -0.08 ,   g395m
       jades_1181_954, 189.151966 ,  62.259635 , 6.7608 , 2410 , 200, -150 , 7.11 , 0.0137, -0.0165 ,   44.5 , 0.010, -0.010 , 0.2030, 0.0036, -0.00 ,   g395m
   rubies_4233_807469,  34.376139 ,  -5.310366 , 6.7754 , 2330 , 890, -420 , 7.07 , 0.0228, -0.0306 , 44.5 , 0.0359, -0.0305 , 0.2151, 0.0153, -0.010 ,   g395m
   glimpse_9223_46938, 342.236053 , -44.541561 , 6.8526 , 1570 , 290, -210 , 6.13 , 0.0339, -0.0513 ,   43.9 , 0.010, -0.010 , 0.5113, 0.0253, -0.03 ,   g395m
   rubies_4233_925921, 215.075054 ,  52.943828 , 6.9448 , 3220 , 640, -450 , 7.45 , 0.0281, -0.0306 , 44.6 , 0.0107, -0.0114 , 0.1144, 0.0037, -0.00 ,   g395m
      egs_4287_127193, 214.983029 ,  52.955935 , 6.9833 ,   3240 , 90, -90 ,   7.73 , 0.010, -0.010 ,   45.0 , 0.010, -0.010 , 0.1587, 0.0013, -0.00 ,   g395m
    rubies_4233_55604, 214.983026 ,  52.956001 , 6.9843 ,   3320 , 80, -70 ,   7.85 , 0.010, -0.010 ,   45.2 , 0.010, -0.010 , 0.1751, 0.0013, -0.00 ,   g395m
   bluejay_1810_19945, 150.090563 ,   2.381598 , 6.9894 , 2140 , 320, -270 , 6.95 , 0.0294, -0.0357 , 44.6 , 0.010, -0.0121 , 0.3739, 0.0105, -0.010 ,   g395m
    rubies_4233_42803, 214.929524 ,  52.887919 , 7.1522 , 3260 , 780, -760 , 7.36 , 0.0482, -0.0528 , 44.4 , 0.0188, -0.024 , 0.0923, 0.0051, -0.010 ,   g395m
       gdn_4762_33609, 189.083488 ,  62.202579 , 7.1883 , 2790 , 260, -240 , 7.39 , 0.0218, -0.0242 ,   44.8 , 0.010, -0.010 , 0.1897, 0.0028, -0.00 ,   g395m
