id,ra,dec,zspec,q_zsp
VANDELS_CDFS_000311,53.067170,-27.937370,3.625,21
VANDELS_CDFS_026933,53.068420,-27.937430,4.6967,29
VANDELS_CDFS_206704,53.063780,-27.934800,3.461,3
VANDELS_CDFS_101975,53.028300,-27.965300,1.22,4
VANDELS_CDFS_102698,53.012560,-27.960870,1.2203,4
VANDELS_CDFS_203989,53.019100,-27.955450,3.1366,14
VANDELS_CDFS_204474,53.031750,-27.951570,4.3154,3
VANDELS_CDFS_204408,53.013600,-27.951430,3.362,3
VANDELS_CDFS_103836,53.001800,-27.951660,3.7096,4
VANDELS_CDFS_204407,53.021540,-27.951240,3.3553,4
VANDELS_CDFS_205324,53.025820,-27.944980,3.5027,3
VANDELS_CDFS_105565,53.021690,-27.935640,2.6704,2
VANDELS_CDFS_205975,53.036090,-27.940190,3.4645,3
VANDELS_CDFS_206191,53.036250,-27.938660,3.454,1
VANDELS_CDFS_206561,53.049820,-27.935900,3.2122,2
VANDELS_CDFS_206585,53.059030,-27.935900,3.6912,9
VANDELS_CDFS_207067,53.054090,-27.931760,3.3781,1
VANDELS_CDFS_106536,53.055070,-27.924660,1.1837,4
VANDELS_CDFS_206841,53.030240,-27.933430,5.087,4
VANDELS_CDFS_107400,53.034920,-27.919420,1.1297,4
VANDELS_CDFS_107323,53.042150,-27.918660,1.1182,4
VANDELS_CDFS_209094,53.043330,-27.916700,3.4697,3
VANDELS_CDFS_104491,52.987180,-27.944270,1.5903,3
VANDELS_CDFS_106666,52.969930,-27.926720,2.524,3
VANDELS_CDFS_106548,52.965290,-27.926820,1.1121,3
VANDELS_CDFS_205915,53.003750,-27.940240,3.461,3
VANDELS_CDFS_206016,53.006640,-27.939700,3.4629,3
VANDELS_CDFS_208210,52.999890,-27.923150,3.7095,3
VANDELS_CDFS_208861,53.005750,-27.918600,3.714,2
VANDELS_CDFS_208187,53.024140,-27.923540,3.461,2
VANDELS_CDFS_209155,53.020030,-27.916500,3.46,1
VANDELS_CDFS_208906,53.022360,-27.918150,3.4548,4
VANDELS_CDFS_210329,53.030270,-27.907780,3.6989,3
VANDELS_CDFS_210568,53.032310,-27.905850,3.3902,1
VANDELS_CDFS_211174,53.030550,-27.901020,3.5817,3
VANDELS_CDFS_107694,53.005390,-27.917910,3.7081,4
VANDELS_CDFS_209364,53.007630,-27.914860,3.7077,2
VANDELS_CDFS_108180,53.015270,-27.914380,2.6915,4
VANDELS_CDFS_210405,52.982150,-27.906740,2.3169,4
VANDELS_CDFS_108285,52.963850,-27.913410,2.5371,4
VANDELS_CDFS_211320,53.005050,-27.899960,3.7162,2
VANDELS_CDFS_212043,52.994480,-27.894030,3.395,4
VANDELS_CDFS_110659,53.015000,-27.892750,3.411,3
VANDELS_CDFS_212836,53.014170,-27.888200,2.307,2
VANDELS_CDFS_212808,52.993280,-27.887910,3.165,3
VANDELS_CDFS_111280,52.987290,-27.885900,1.3558,3
VANDELS_CDFS_213392,52.988340,-27.884790,3.5568,4
VANDELS_CDFS_213252,53.000360,-27.885840,4.9293,9
VANDELS_CDFS_215306,53.000230,-27.870870,4.5154,3
VANDELS_CDFS_212188,52.969160,-27.892700,,0
VANDELS_CDFS_111979,52.985100,-27.876870,1.2676,4
VANDELS_CDFS_215111,52.984510,-27.872920,4.1143,2
VANDELS_CDFS_216104,52.991330,-27.864790,3.9471,4
VANDELS_CDFS_113741,52.984770,-27.867200,3.7049,4
VANDELS_CDFS_112501,52.964850,-27.876470,1.243,4
VANDELS_CDFS_215423,52.967480,-27.870020,3.395,3
VANDELS_CDFS_113952,52.967120,-27.865090,2.5665,3
VANDELS_CDFS_114469,52.974340,-27.860230,1.0436,4
VANDELS_CDFS_217302,52.978700,-27.855890,3.1126,3
VANDELS_CDFS_217170,52.966520,-27.856910,4.1827,2
VANDELS_CDFS_115905,52.969580,-27.849010,3.9514,4
VANDELS_CDFS_116679,52.962800,-27.841960,2.674,2
VANDELS_CDFS_000306,53.089710,-27.938510,1.43,1
VANDELS_CDFS_000266,53.083690,-27.938910,2.5631,4
VANDELS_CDFS_000322,53.081140,-27.936970,3.3495,2
VANDELS_CDFS_000423,53.101300,-27.934340,2.671,2
VANDELS_CDFS_000283,53.076980,-27.938390,2.566,4
VANDELS_CDFS_000305,53.079380,-27.937400,3.3688,1
VANDELS_CDFS_000303,53.069640,-27.937460,3.6137,4
VANDELS_CDFS_000427,53.073700,-27.933440,3.9346,24
VANDELS_CDFS_000446,53.076180,-27.933290,2.6686,4
VANDELS_CDFS_000321,53.080560,-27.937140,3.352,4
VANDELS_CDFS_000354,53.081710,-27.935820,3.364,2
VANDELS_CDFS_000404,53.071830,-27.934280,3.3678,1
VANDELS_CDFS_000580,53.087320,-27.929550,3.87,1
VANDELS_CDFS_000598,53.088250,-27.928440,3.1965,4
VANDELS_CDFS_000684,53.084200,-27.926220,3.0522,22
VANDELS_CDFS_000687,53.084530,-27.926200,3.053,4
VANDELS_CDFS_001041,53.083210,-27.916410,5.5048,9
VANDELS_CDFS_000541,53.106690,-27.930190,5.784,4
VANDELS_CDFS_000766,53.104070,-27.923640,3.3641,4
VANDELS_CDFS_001256,53.104830,-27.913930,1.0887,4
VANDELS_CDFS_001278,53.115910,-27.912130,3.291,1
VANDELS_CDFS_001381,53.111490,-27.909340,,-10
VANDELS_CDFS_001617,53.123060,-27.904620,2.8926,1
VANDELS_CDFS_001679,53.099470,-27.903300,2.553,1
VANDELS_CDFS_027366,53.107480,-27.903580,5.415,4
VANDELS_CDFS_001851,53.109560,-27.901400,1.0442,4
VANDELS_CDFS_209144,53.070680,-27.916470,4.4286,4
VANDELS_CDFS_210227,53.072790,-27.908450,3.463,2
VANDELS_CDFS_209666,53.049730,-27.912070,4.9448,9
VANDELS_CDFS_108558,53.051320,-27.910830,4.7588,3
VANDELS_CDFS_209736,53.051670,-27.911760,4.775,3
VANDELS_CDFS_210184,53.045360,-27.908740,3.6998,3
VANDELS_CDFS_209886,53.048370,-27.906410,3.7014,2
VANDELS_CDFS_109310,53.055340,-27.903230,0.9652,4
VANDELS_CDFS_211279,53.066700,-27.899220,4.4255,9
VANDELS_CDFS_211307,53.063960,-27.899290,3.4764,2
VANDELS_CDFS_002369,53.066330,-27.893030,3.4714,3
VANDELS_CDFS_001793,53.088220,-27.901840,,0
VANDELS_CDFS_001892,53.090950,-27.900170,3.28,1
VANDELS_CDFS_002192,53.073570,-27.896560,1.2648,4
VANDELS_CDFS_002789,53.070940,-27.887330,3.4702,3
VANDELS_CDFS_002778,53.073370,-27.887480,3.474,3
VANDELS_CDFS_003073,53.078820,-27.884100,5.568,14
VANDELS_CDFS_002973,53.073900,-27.885220,3.704,4
VANDELS_CDFS_003202,53.072210,-27.882900,2.694,23
VANDELS_CDFS_003180,53.074210,-27.882740,4.2329,2
VANDELS_CDFS_002782,53.083570,-27.887530,3.4319,9
VANDELS_CDFS_003247,53.088070,-27.882080,3.7007,4
VANDELS_CDFS_003347,53.087870,-27.881300,2.801,4
VANDELS_CDFS_004229,53.089920,-27.872600,3.2002,29
VANDELS_CDFS_004100,53.085130,-27.873390,3.601,1
VANDELS_CDFS_001911,53.126570,-27.899550,4.5907,9
VANDELS_CDFS_002138,53.127010,-27.896440,3.0699,2
VANDELS_CDFS_002365,53.141220,-27.893190,2.824,4
VANDELS_CDFS_002667,53.150470,-27.889010,3.0525,1
VANDELS_CDFS_002584,53.145120,-27.890340,3.37,4
VANDELS_CDFS_002368,53.136570,-27.893200,3.4862,2
VANDELS_CDFS_027583,53.120580,-27.892930,3.7984,9
VANDELS_CDFS_003032,53.118270,-27.885000,3.0779,4
VANDELS_CDFS_002964,53.130700,-27.888660,1.1355,4
VANDELS_CDFS_028048,53.124320,-27.875900,6.1938,9
VANDELS_CDFS_003030,53.148390,-27.885530,1.566,4
VANDELS_CDFS_003839,53.144600,-27.875750,3.458,14
VANDELS_CDFS_003836,53.144120,-27.875780,,20
VANDELS_CDFS_004047,53.142910,-27.874230,2.8956,1
VANDELS_CDFS_005123,53.152830,-27.863150,3.596,4
VANDELS_CDFS_006022,53.146690,-27.853960,3.2599,1
