id,ra,dec,zspec,Conf
116035137,53.13366,-27.85565,4.77,2
115032151,53.12601,-27.85899,4.032,1
115022116,53.12741,-27.85634,3.6041,3
115028125,53.12263,-27.85782,3.7047,3
115008100,53.12084,-27.85642,3.1121,2
115043175,53.12133,-27.85751,4.7783,3
116016087,53.13053,-27.85358,3.6051,2
116011072,53.13154,-27.85383,3.2744,2
116015086,53.14235,-27.855,3.488,2
116024097,53.13833,-27.85284,3.9645,2
117006020,53.14708,-27.84752,3.5708,2
116002059,53.13205,-27.84888,3.0634,3
116039142,53.1317,-27.84703,5.3251,3
116019092,53.13742,-27.84364,3.7019,3
122035132,53.13572,-27.84229,4.6612,1
115020114,53.12004,-27.85196,3.5835,2
115003085,53.12437,-27.85161,3.7098,3
115012104,53.12417,-27.85122,3.3147,3
115024120,53.12506,-27.85225,3.6902,3
115035156,53.11482,-27.84963,4.1235,2
114019101,53.11666,-27.83977,4.7201,3
122022112,53.13366,-27.84281,3.7986,2
122028123,53.13524,-27.84048,4.1425,2
122007063,53.13911,-27.83634,3.1427,2
122021111,53.13884,-27.83538,3.799,3
122032127,53.1326,-27.83745,4.3499,2
122036133,53.13652,-27.83571,4.7068,2
122004055,53.12691,-27.8393,3.0652,2
122011067,53.1331,-27.83015,3.2914,2
122013069,53.12953,-27.83078,3.6061,2
162024109,53.06876,-27.87715,4.3513,2
162046138,53.06301,-27.87336,5.7428,1
162010063,53.06217,-27.8719,3.6496,2
162005057,53.07425,-27.87513,3.1481,2
162008060,53.07261,-27.8671,3.4946,1
161022049,53.07474,-27.8603,5.6941,2
161012032,53.06237,-27.8618,4.1317,1
161007023,53.07016,-27.85924,4.0735,2
161021048,53.06313,-27.85018,5.665,1
160005048,53.05915,-27.84716,3.2243,3
160004047,53.0616,-27.84625,3.2187,3
160037105,53.06095,-27.84596,5.2116,2
160020071,53.0601,-27.84589,4.2835,1
160011058,53.05862,-27.84378,3.5541,3
160017067,53.05465,-27.84558,4.0777,2
160038106,53.05004,-27.84095,5.2214,1
159035080,53.04528,-27.83554,4.0033,1
159003012,53.04572,-27.83201,3.1646,2
105009034,53.08899,-27.8606,3.8333,2
110007009,53.09449,-27.85614,3.706,3
109014056,53.09159,-27.85511,4.0635,3
104014050,53.07852,-27.8598,3.6609,3
104015052,53.07615,-27.85837,3.6571,3
104032086,53.08578,-27.85354,4.7418,2
109010038,53.09464,-27.85124,3.6055,2
109015057,53.09416,-27.85281,4.0636,3
109006034,53.09824,-27.84656,3.3763,2
109008036,53.09903,-27.84688,3.584,1
104019059,53.08682,-27.84784,4.0295,2
109024083,53.08968,-27.84516,4.7418,2
109009037,53.09657,-27.84044,3.5926,3
104012048,53.07598,-27.85264,3.5499,2
104007038,53.07851,-27.85038,3.4279,3
104009041,53.07782,-27.84644,3.4881,2
104004029,53.0807,-27.84521,3.2181,3
161008024,53.0673,-27.84818,4.0976,1
103010057,53.07087,-27.84625,3.4296,2
103005045,53.07033,-27.84363,3.0807,3
103026097,53.07822,-27.84257,4.2839,2
103033107,53.07634,-27.83874,4.5093,2
103009056,53.07471,-27.83851,3.3708,2
109003027,53.08906,-27.84305,3.2013,2
104024069,53.08442,-27.84325,4.2885,1
108009107,53.09136,-27.8396,3.3869,2
103001001,53.07996,-27.8389,2.9747,2
