id,ra,dec,z_ALT,n_lines_detected,zspec
27884,3.5823427,-30.397613,4.957028,1,
27889,3.6173814,-30.3979261,4.787388,1,
27935,3.6375377,-30.3975824,4.985915,1,
27941,3.6093891,-30.3983921,2.704502,1,
28024,3.5960152,-30.3989747,0.946137,1,
28032,3.6080166,-30.3977132,6.326,1,
28054,3.5824275,-30.3975497,4.958376,1,
28107,3.5490748,-30.3991654,0.687939,1,
28115,3.5486597,-30.398867,1.706482,1,
28130,3.5629605,-30.3975136,4.041741,1,
28164,3.6220684,-30.3972925,6.133918,2,6.133918
28192,3.5649177,-30.3971495,5.766628,1,
28194,3.6141221,-30.3991675,0.727282,2,0.727282
28207,3.5648259,-30.3971618,5.766133,1,
28269,3.5569243,-30.3969243,5.773146,1,
28301,3.5739797,-30.3982138,0.931548,1,
28312,3.5765188,-30.3990928,1.859973,1,
28362,3.6131374,-30.3970501,5.772647,3,5.772647
28397,3.565354,-30.3968971,4.6098,1,
28423,3.5682851,-30.3974734,2.582489,2,2.582489
28449,3.5451009,-30.3973725,0.891963,1,
28451,3.5608446,-30.3967765,4.769252,1,
28462,3.5412372,-30.397685,0.891884,1,
28576,3.6054236,-30.3965833,5.766888,2,5.766888
28652,3.6324497,-30.3975516,1.83985,1,
28659,3.548399,-30.3962819,6.233881,1,
28670,3.6207292,-30.3962326,6.142028,1,
28676,3.6200848,-30.396289,5.770766,2,5.770766
28738,3.6199261,-30.396178,5.768856,1,
28739,3.5441921,-30.3961529,4.050641,1,
28764,3.548487,-30.3962876,6.240448,3,6.240448
28843,3.6041741,-30.3971737,2.072976,2,2.072976
28854,3.5669378,-30.3961156,5.763184,2,5.763184
28884,3.6207388,-30.3961277,6.132915,3,6.132915
28888,3.5771805,-30.3959915,5.048604,1,
28913,3.5978251,-30.3959415,6.872088,3,6.872088
28930,3.5607919,-30.3957733,5.775374,1,
28986,3.5905268,-30.3955366,5.646073,1,
29039,3.5518615,-30.395632,5.050311,1,
29094,3.5604466,-30.3962165,2.933301,2,2.933301
29112,3.5468263,-30.3954301,5.776308,1,
29117,3.5527996,-30.3997439,0.673778,1,
29139,3.5533314,-30.3953011,0.686687,1,
29148,3.6234003,-30.3953954,6.691802,1,
