id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.17603-27.81739,53.176029694808136,-27.81739425272271,8.93,-9999.0,NIRSpec,-18.77,27.981761959808598
JADES-GS-53.1768-27.81775,53.17679721653663,-27.817752742357317,8.93,-9999.0,-,-19.29,28.448233020257046
JADES-GS-53.17691-27.77662,53.17691157692975,-27.77662001446076,8.15,-9999.0,-,-17.87,29.486926338612236
JADES-GS-53.17723-27.82405,53.17722774456234,-27.824050675352527,9.03,-9999.0,-,-17.29,30.052718756522594
JADES-GS-53.17727-27.78011,53.177269616627584,-27.7801103470719,8.08,-9999.0,-,-17.32,29.47503802623001
JADES-GS-53.17731-27.82407,53.17731301684878,-27.824065990170748,9.13,-9999.0,-,-18.31,29.26113827076109
JADES-GS-53.17751-27.81708,53.17751434556409,-27.81708178334854,8.35,-9999.0,NIRSpec,-17.87,28.95457862364655
JADES-GS-53.1776-27.74829,53.17760389774919,-27.748291189724416,8.93,-9999.0,-,-17.39,29.90374975312677
JADES-GS-53.1777-27.78478,53.177704584958356,-27.78477682713179,8.53,-9999.0,-,-18.07,29.343730986375967
JADES-GS-53.17784-27.74855,53.17784125766292,-27.748553405388492,8.84,-9999.0,-,-17.60,29.855684804580182
JADES-GS-53.17847-27.75591,53.17846896198661,-27.75590917759103,15.13,-9999.0,-,-18.13,30.80882819608005
JADES-GS-53.17849-27.74054,53.17849083041947,-27.740538338316203,8.63,-9999.0,-,-18.17,29.117613654423582
JADES-GS-53.17861-27.74042,53.17860959911279,-27.740424840642767,8.93,-9999.0,-,-19.07,28.468184024285968
JADES-GS-53.17871-27.82736,53.17870522764293,-27.827362934491106,9.12,-9999.0,-,-17.34,30.098031858980633
JADES-GS-53.17883-27.74739,53.17883180590007,-27.74738801069313,8.38,-9999.0,-,-17.64,28.883903388514238
JADES-GS-53.18057-27.7455,53.18057209186427,-27.745495679056102,11.47,-9999.0,-,-18.72,29.731861266843058
JADES-GS-53.18074-27.76077,53.18074358010377,-27.760768623685646,8.39,-9999.0,-,-17.14,30.273972059058764
JADES-GS-53.18087-27.80577,53.180871558226876,-27.80577133311628,9.33,-9999.0,-,-17.42,29.422456380895806
JADES-GS-53.18088-27.74152,53.1808825629112,-27.74152459775531,8.1,-9999.0,-,-17.43,30.148575844567173
JADES-GS-53.18101-27.83035,53.18100675544588,-27.830351739140948,8.91,-9999.0,-,-17.43,29.57738543832139
JADES-GS-53.18115-27.77378,53.18114966201065,-27.773776036459946,8.73,-9999.0,-,-18.07,29.834005764760022
JADES-GS-53.18129-27.81043,53.18129052695513,-27.810427198197296,12.52,-9999.0,-,-17.75,31.158885071334904
JADES-GS-53.18158-27.77327,53.181577214445774,-27.7732740313103,8.3,-9999.0,-,-17.10,29.80901764205762
JADES-GS-53.18218-27.82882,53.1821767990932,-27.82881549207621,9.65,-9999.0,-,-16.93,30.37495038358581
