id,ra,dec,zspec,zconf
mc1206-7689,181.5381,-8.79717,1.5014,3
mc1206-7691,181.55588,-8.79702,0.429,3
mc1206-7695,181.56949,-8.79719,0.8574,3
mc1206-7696,181.56991,-8.79734,0.447,3
mc1206-7697,181.54394,-8.79691,0.4456,3
mc1206-7700,181.53441,-8.79751,1.4864,3
mc1206-7708,181.54688,-8.79724,2.5408,3
mc1206-7731,181.56513,-8.79761,1.0411,3
mc1206-7733,181.53355,-8.79738,0.4323,3
mc1206-7752,181.56601,-8.79756,0.44512,3
mc1206-7754,181.56855,-8.79712,0.563,3
mc1206-7756,181.55828,-8.79752,0.438,2
mc1206-7764,181.54241,-8.79759,0.4536,2
mc1206-7765,181.55092,-8.79742,1.0125,3
mc1206-7767,181.54936,-8.79781,0.6047,3
mc1206-7770,181.54883,-8.79754,0.3536,3
mc1206-7774,181.54914,-8.79763,0.457004,3
mc1206-7778,181.55629,-8.79779,0.435337,3
mc1206-7784,181.56706,-8.7976,0.6048,3
mc1206-7788,181.55612,-8.79763,0.4279,3
mc1206-7794,181.54342,-8.79769,4.072592,3
mc1206-7797,181.55764,-8.79781,0.4297,2
mc1206-7800,181.54715,-8.79834,1.4265,3
mc1206-7806,181.55365,-8.79778,4.3214,3
mc1206-7813,181.54719,-8.79801,1.426,3
mc1206-7814,181.54235,-8.79782,0.4324,1
mc1206-7815,181.54327,-8.79782,1.9609,3
mc1206-7827,181.54377,-8.79788,0.3872,3
mc1206-7828,181.53991,-8.79788,4.2937,3
mc1206-7840,181.55888,-8.79821,0.4414,3
mc1206-7841,181.54494,-8.79814,0.448,3
mc1206-7846,181.56923,-8.79819,0.8584,3
mc1206-7854,181.56835,-8.79829,0.4364,3
mc1206-7864,181.54881,-8.79854,0.4207,3
mc1206-7866,181.55741,-8.79825,1.0415,3
mc1206-7867,181.5583,-8.79837,0.4279,3
mc1206-7870,181.5651,-8.79823,0.443,2
mc1206-7871,181.54,-8.79824,0.49,1
mc1206-7875,181.54388,-8.79831,0.4357,3
mc1206-7876,181.53595,-8.79854,0.4302,3
mc1206-7887,181.54243,-8.79838,0.444087,2
mc1206-7888,181.54277,-8.79835,0.432,1
mc1206-7891,181.5463,-8.79836,0.4307,3
mc1206-7896,181.548,-8.79861,0.4455,3
mc1206-7906,181.5627,-8.79883,0.4461,3
mc1206-7921,181.53458,-8.79857,0.3545,3
mc1206-7923,181.55342,-8.79861,0.424479,2
mc1206-7924,181.55592,-8.79859,4.041994,3
mc1206-7928,181.54326,-8.79873,0.4395,3
mc1206-7932,181.55604,-8.79869,0.4368,3
mc1206-7943,181.55117,-8.79885,0.4397,3
mc1206-7958,181.54609,-8.79903,0.4377,3
mc1206-7970,181.54508,-8.79879,1.0372,3
mc1206-7976,181.56633,-8.80033,0.8077,3
mc1206-7977,181.55796,-8.79896,0.4343,3
mc1206-7982,181.54238,-8.7991,0.4514,3
mc1206-7983,181.5635,-8.79892,0.6044,3
mc1206-7991,181.5382,-8.79906,0.3872,3
mc1206-7992,181.55885,-8.79902,0.4454,3
mc1206-8000,181.53966,-8.79905,0.495,1
mc1206-8002,181.54681,-8.79909,0.4291,2
mc1206-8008,181.56742,-8.79916,0.807,3
mc1206-8012,181.54457,-8.79927,0.4438,3
mc1206-8020,181.54562,-8.79969,0.4508,3
mc1206-8037,181.55601,-8.79168,3.7625,3
mc1206-8038,181.55939,-8.80612,4.5359,3
mc1206-8039,181.56625,-8.80631,3.7571,2
mc1206-8040,181.55479,-8.80754,0.476184,3
mc1206-8041,181.55891,-8.8093,0.6723,3
mc1206-8042,181.56286,-8.79592,3.035622,3
mc1206-8043,181.55415,-8.79426,0.4104,3
mc1206-8044,181.55536,-8.79353,0.4284,3
mc1206-8045,181.54699,-8.79538,1.0353,3
mc1206-8046,181.54385,-8.79417,0.734179,3
mc1206-8047,181.54479,-8.8008,1.0363,3
mc1206-8048,181.56711,-8.80371,0.900749,3
rxj1347-264,206.88909,-11.77221,4.334,2
rxj1347-295,206.8883,-11.77228,3.22574,2
rxj1347-357,206.88612,-11.77155,3.55797,3
rxj1347-229,206.88646,-11.77072,0.44587,3
rxj1347-302,206.88654,-11.7712,2.919391,1
rxj1347-372,206.88533,-11.77111,5.53838,3
rxj1347-304,206.88013,-11.77048,3.611094,3
rxj1347-157,206.88273,-11.77115,0.45314,3
rxj1347-472,206.88585,-11.76943,0.0,3
rxj1347-344,206.88191,-11.77041,1.39856,3
rxj1347-550,206.8834,-11.76883,3.47501,1
rxj1347-609,206.88303,-11.76835,0.0,1
rxj1347-263,206.89093,-11.77256,0.92856,3
rxj1347-501,206.8921,-11.76956,0.44662,3
rxj1347-631,206.88896,-11.77147,6.347,1
rxj1347-361,206.88862,-11.77177,5.7809,3
rxj1347-454,206.89,-11.76954,0.44181,3
rxj1347-541,206.89055,-11.77,3.67292,3
rxj1347-387,206.88769,-11.77045,0.44741,3
rxj1347-959,206.88961,-11.76875,4.344,1
rxj1347-632,206.88952,-11.76893,4.33922,2
rxj1347-365,206.88624,-11.76821,0.90501,3
rxj1347-221,206.88851,-11.76693,4.66622,1
rxj1347-542,206.88767,-11.76722,2.07,1
rxj1347-517,206.88549,-11.76717,0.0001,3
rxj1347-747,206.88602,-11.76692,0.462,1
rxj1347-849,206.88572,-11.7662,0.584,1
rxj1347-1010,206.88689,-11.76564,3.4718,3
rxj1347-14,206.88889,-11.76515,4.875,1
rxj1347-917,206.88841,-11.76654,4.956,2
rxj1347-1038,206.89071,-11.76563,2.910393,2
rxj1347-1094,206.88963,-11.765,0.61748,3
rxj1347-804,206.88793,-11.76434,4.94411,1
rxj1347-1191,206.88853,-11.7635,0.456338,3
rxj1347-1320,206.89364,-11.76375,0.53699,3
rxj1347-666,206.89286,-11.76395,2.2375,1
rxj1347-1411,206.8923,-11.76331,5.76964,3
rxj1347-275,206.89252,-11.76255,4.040225,3
rxj1347-1249,206.89067,-11.76272,0.46273,3
rxj1347-1389,206.89024,-11.76185,0.4629,2
rxj1347-1521,206.89116,-11.76145,0.87561,2
rxj1347-506,206.89317,-11.75992,5.009,1
rxj1347-1790,206.89421,-11.75932,0.0,3
rxj1347-92,206.87343,-11.76821,1.774274,3
rxj1347-208,206.87645,-11.76932,0.45088,3
rxj1347-308,206.877,-11.76955,0.44763,3
rxj1347-374,206.87867,-11.76835,0.447524,3
rxj1347-390,206.88114,-11.76929,0.45472,3
rxj1347-465,206.8813,-11.7689,0.0,3
rxj1347-705,206.8824,-11.76673,0.54509,3
rxj1347-717,206.8818,-11.7669,0.61784,3
rxj1347-521,206.88115,-11.76613,0.45796,3
rxj1347-670,206.88072,-11.76729,4.38354,3
rxj1347-778,206.88074,-11.76574,0.781053,3
rxj1347-990,206.87527,-11.76806,4.95112,2
rxj1347-400,206.87505,-11.76789,0.45867,3
rxj1347-306,206.87735,-11.76768,4.94872,3
rxj1347-481,206.87771,-11.76757,0.447803,2
rxj1347-1,206.8726,-11.7674,0.45074,3
rxj1347-466,206.87345,-11.76793,0.60903,3
rxj1347-537,206.87421,-11.76703,0.69396,3
rxj1347-734,206.87736,-11.76474,0.445042,3
rxj1347-903,206.87634,-11.76438,0.46162,1
rxj1347-4580,206.87588,-11.76454,1.14419,3
rxj1347-11,206.87838,-11.76331,4.83771,3
rxj1347-815,206.87737,-11.76388,3.705,1
rxj1347-910,206.87766,-11.76456,0.444939,1
rxj1347-1076,206.87842,-11.76331,4.161005,2
rxj1347-386,206.87101,-11.76678,0.45278,3
rxj1347-428,206.87122,-11.7671,0.29106,3
rxj1347-340,206.86871,-11.76809,0.4434,1
rxj1347-496,206.86861,-11.76618,0.44308,3
rxj1347-297,206.86435,-11.76794,0.55909,3
rxj1347-285,206.86302,-11.76766,0.10066,3
rxj1347-356,206.86245,-11.76719,0.59231,3
rxj1347-401,206.86413,-11.76573,0.4568,3
rxj1347-453,206.86531,-11.76652,0.58655,3
rxj1347-604,206.86699,-11.76712,4.0465,3
rxj1347-493,206.86696,-11.76632,-0.000508,1
rxj1347-562,206.86651,-11.76565,1.767258,2
rxj1347-625,206.86847,-11.76456,0.45662,3
